date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:38	110/110	------	200	untouched ('OK')	text/plain	date:Wed,%2024%20May%202023%2008:45:13%20GMT	https://www.utb.ac.rw/robots.txt		(from )
10:45:38	126972/126972	------	200	untouched ('OK')	text/html	date:Wed,%2024%20May%202023%2008:45:13%20GMT	https://www.utb.ac.rw/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/index.html	(from )
10:45:38	156/156	------	403	error ('Forbidden')	text/html	date:Wed,%2024%20May%202023%2008:45:17%20GMT	https://www.utb.ac.rw/xmlrpc.php	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/xmlrpc.0.delayed	(from https://www.utb.ac.rw/)
10:45:38	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20May%202023%2008:45:17%20GMT	http://www.utb.ac.rw/wp-content/uploads/2014/10/logo-e1629813099434.png	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/uploads/2014/10/logo-e1629813099434.1.delayed	(from https://www.utb.ac.rw/)
10:45:38	9609/9609	------	200	untouched ('')	application/rss+xml	etag:%22b1144b60bf6c1619a9a4cfefc04eb6d8%22	https://www.utb.ac.rw/feed/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/feed/index.html	(from https://www.utb.ac.rw/)
10:45:38	756/756	------	200	untouched ('')	application/rss+xml	etag:%229b9b8939c32280bbb0b2f34bd4316cdd%22	https://www.utb.ac.rw/comments/feed/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/comments/feed/index.html	(from https://www.utb.ac.rw/)
10:45:38	755/755	------	200	untouched ('')	application/rss+xml	etag:%229b9b8939c32280bbb0b2f34bd4316cdd%22	https://www.utb.ac.rw/home-2/feed/	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/home-2/feed/index.html	(from https://www.utb.ac.rw/)
10:45:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20May%202023%2008:45:39%20GMT	http://www.utb.ac.rw/wp-content/uploads/js_composer/js_composer_front_custom.css?ver=6.6.0	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/uploads/js_composer/js_composer_front_custom.1631dc.delayed	(from https://www.utb.ac.rw/)
10:45:39	156663/156663	---MCZ	200	added ('OK')	text/css	etag:W/%22263f7-5ec17fe747040%22	https://www.utb.ac.rw/wp-content/themes/university/style.css?ver=5.7.9	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/themes/university/stylefcc2.css	(from https://www.utb.ac.rw/)
10:45:40	13240/13240	------	200	untouched ('')	image/png	etag:%2233b8-5ec17fe92f4c0%22	https://www.utb.ac.rw/wp-content/uploads/2014/10/logo-e1629813099434.png	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-content/uploads/2014/10/logo-e1629813099434.png	(from https://www.utb.ac.rw/)
10:45:40	58171/58171	------	200	untouched ('OK')	text/css	etag:W/%22e33b-5ec17fec0bb80%22	https://www.utb.ac.rw/wp-includes/css/dist/block-library/style.min.css?ver=5.7.9	C:/My%20Web%20Sites/UTB/www.utb.ac.rw/wp-includes/css/dist/block-library/style.minfcc2.css	(from https://www.utb.ac.rw/)
